Date_Last_Modified,Name,Icon,Lat,Lon,Link1,Freq1,Offset1,Tone1,OnAir1,Mode1,Link2,Freq2,Offset2,Tone2,OnAir2,Mode2,Link3,Freq3,Offset3,Tone3,OnAir3,Mode3,Link4,Freq4,Offset4,Tone4,OnAir4,Mode4,Link5,Freq5,Offset5,Tone5,OnAir5,Mode5
"2026-01-19","KC3BXH","repeater_gray","39.14469910","-76.98629761","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=125","443.150000","+","156.7","Yes","FM P-25","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=208","927.725000","-","156.7","Yes","FM IRLP","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=12178","147.000000","-","156.7","Yes","FM EchoLink P-25","","","","","","","","","","","",""
"2026-01-19","K3LMS","repeater_gray","39.36","-77.54","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=126","443.300000","+","100.0","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3ORB","repeater_gray","38.38999939","-75.16359711","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=131","443.450000","+","151.4","Yes","FM P-25","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=13883","444.012500","+","","Yes","DMR","","","","","","","","","","","","","","","","","",""
"2026-01-19","WA3YUV","repeater_gray","38.70","-76.85","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=133","443.600000","+","103.5","Yes","FM Fusion","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3FI","repeater_gray","38.52720200","-76.61496200","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=135","443.700000","+","179.9","Yes","FM Fusion","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","WA3YOO","repeater_gray","39.08300018","-77.14949799","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=137","443.900000","+","156.7","Yes","FM DMR P-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3ST","repeater_gray","39.49","-77.50","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=146","444.100000","+","167.9","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=194","449.675000","-","167.9","Yes","FM","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3KZ","repeater_gray","39.54859924","-76.09089661","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=147","444.150000","+","131.8","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3LHD","repeater_gray","38.89","-76.80","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=155","444.650000","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=23540","442.462500","+","","Yes","FM","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3ARK","repeater_gray","39.62670135","-77.71050262","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=161","447.125000","-","123.0","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=10997","444.350000","+","100.0","Yes","FM","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3KMA","repeater_gray","39.61909866","-77.49500275","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=171","448.025000","-","103.5","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KB3BHO","repeater_gray","39.48","-76.64","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=179","448.525000","-","82.5","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
